1su,1,3,2,4,2,4,3,2,
2su,2,4,3,3,2,1,2,4,
3su,2,4,3,3,2,1,2,4,
4su,3,3,4,1,2,2,2,3,
5su,2,4,3,3,2,2,2,2,
6su,3,3,4,4,2,3,1,1,
7su,2,3,3,2,2,4,4,3,
8su,4,4,3,4,2,3,3,4,
9su,4,3,2,3,2,1,4,2,
10su,2,1,2,3,2,1,2,4,
11su,1,2,2,2,2,4,4,1,
12su,1,3,4,2,2,3,2,4,
13su,1,3,1,4,2,2,3,4,
14su,2,3,4,1,2,2,3,4,
15su,3,4,3,3,2,4,2,3,
16su,2,4,1,2,2,2,3,4,
17su,1,4,3,1,2,4,1,1,
18su,4,4,2,2,2,3,1,2,
19su,3,1,1,3,2,2,3,3,
20su,2,2,4,1,2,4,4,1,
21su,1,3,4,2,2,2,2,4,
23su,3,2,3,3,2,2,4,4,
24su,2,4,3,1,2,2,3,3,
26su,3,4,2,4,2,3,2,2,
27su,4,3,4,1,2,1,1,3,
28su,1,2,34,2,2,3,1,2
